ID,REF_DATE,GEO,DGUID,Sex,Age group,Student response,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2,2002,Canada,,Males,11 years,Sometimes,Percent,239,units ,0,v30413272,1.1.1.2,14,,,,0
3,2002,Canada,,Males,11 years,Often,Percent,239,units ,0,v30413273,1.1.1.3,15,,,,0
4,2002,Canada,,Males,11 years,Always,Percent,239,units ,0,v30413274,1.1.1.4,38,,,,0
5,2002,Canada,,Males,11 years,Do not ride a bicycle,Percent,239,units ,0,v30413275,1.1.1.5,3,,,,0
6,2002,Canada,,Males,13 years,Rarely or never,Percent,239,units ,0,v30413276,1.1.2.1,47,,,,0
7,2002,Canada,,Males,13 years,Sometimes,Percent,239,units ,0,v30413277,1.1.2.2,16,,,,0
8,2002,Canada,,Males,13 years,Often,Percent,239,units ,0,v30413278,1.1.2.3,11,,,,0
9,2002,Canada,,Males,13 years,Always,Percent,239,units ,0,v30413279,1.1.2.4,21,,,,0
10,2002,Canada,,Males,13 years,Do not ride a bicycle,Percent,239,units ,0,v30413280,1.1.2.5,4,,,,0
11,2002,Canada,,Males,15 years,Rarely or never,Percent,239,units ,0,v30413281,1.1.3.1,63,,,,0
12,2002,Canada,,Males,15 years,Sometimes,Percent,239,units ,0,v30413282,1.1.3.2,9,,,,0
13,2002,Canada,,Males,15 years,Often,Percent,239,units ,0,v30413283,1.1.3.3,7,,,,0
14,2002,Canada,,Males,15 years,Always,Percent,239,units ,0,v30413284,1.1.3.4,10,,,,0
15,2002,Canada,,Males,15 years,Do not ride a bicycle,Percent,239,units ,0,v30413285,1.1.3.5,11,,,,0
16,2002,Canada,,Females,11 years,Rarely or never,Percent,239,units ,0,v30413286,1.2.1.1,24,,,,0
17,2002,Canada,,Females,11 years,Sometimes,Percent,239,units ,0,v30413287,1.2.1.2,17,,,,0
18,2002,Canada,,Females,11 years,Often,Percent,239,units ,0,v30413288,1.2.1.3,13,,,,0
19,2002,Canada,,Females,11 years,Always,Percent,239,units ,0,v30413289,1.2.1.4,41,,,,0
20,2002,Canada,,Females,11 years,Do not ride a bicycle,Percent,239,units ,0,v30413290,1.2.1.5,5,,,,0
21,2002,Canada,,Females,13 years,Rarely or never,Percent,239,units ,0,v30413291,1.2.2.1,45,,,,0
22,2002,Canada,,Females,13 years,Sometimes,Percent,239,units ,0,v30413292,1.2.2.2,17,,,,0
23,2002,Canada,,Females,13 years,Often,Percent,239,units ,0,v30413293,1.2.2.3,10,,,,0
24,2002,Canada,,Females,13 years,Always,Percent,239,units ,0,v30413294,1.2.2.4,18,,,,0
25,2002,Canada,,Females,13 years,Do not ride a bicycle,Percent,239,units ,0,v30413295,1.2.2.5,11,,,,0
26,2002,Canada,,Females,15 years,Rarely or never,Percent,239,units ,0,v30413296,1.2.3.1,52,,,,0
27,2002,Canada,,Females,15 years,Sometimes,Percent,239,units ,0,v30413297,1.2.3.2,10,,,,0
28,2002,Canada,,Females,15 years,Often,Percent,239,units ,0,v30413298,1.2.3.3,10,,,,0
29,2002,Canada,,Females,15 years,Always,Percent,239,units ,0,v30413299,1.2.3.4,12,,,,0
30,2002,Canada,,Females,15 years,Do not ride a bicycle,Percent,239,units ,0,v30413300,1.2.3.5,16,,,,0
31,2020,Brazil,,Male,,Always,,,,,,,100,,,,10
31,2020,Brazil,,Males,28 years,Always,Percent,239,units,0,v30413290,1.2.1.5,31,,,,0
